isClosed,status,founded_at,funding_total_usd,milestones,ca_non_ca,closed_at_year,duration_days,log_funding_total_usd
0,4,2009,5694085.0,1.0,0,0,0,15.55493847470308
0,4,2011,1200000.0,1.0,1,0,0,13.997832114758229
1,2,2008,3915000.0,2.0,0,0,0,15.18032588740704
0,4,2007,811057.0,1.0,0,0,0,13.606093614228266
0,4,2010,15000.0,1.0,1,0,0,9.615805480084347
0,4,2010,57000.0,1.0,0,0,0,10.950806546816688
1,2,2005,250000.0,1.0,0,0,0,12.429216196844385
0,4,2011,100000.0,1.0,1,0,0,11.512925464970229
0,1,1991,100000.0,2.0,0,0,0,11.512925464970229
0,4,2010,2454.0,1.0,0,0,0,7.805474625270857
1,2,2008,10600000.0,3.0,1,0,0,16.176364559082295
0,4,2001,7843200.0,2.0,0,0,0,15.87515747231593
0,4,2010,100000.0,1.0,0,0,0,11.512925464970229
0,4,2000,2309232.0,1.0,0,0,0,14.652425559685923
1,3,2006,200000.0,1.0,1,2013,2488,12.206072645530174
0,4,2010,4000000.0,2.0,1,0,0,15.201804919084164
0,4,2006,5200000.0,1.0,0,0,0,15.464169183551656
0,4,2010,1600000.0,1.0,0,0,0,14.28551418721001
0,4,2010,35000.0,1.0,0,0,0,10.46310334047155
0,4,2011,165000.0,1.0,0,0,0,12.013700752882718
0,4,2006,20000.0,1.0,0,0,0,9.903487552536127
1,2,2005,3500000.0,4.0,0,0,0,15.068273526459642
0,4,2007,14345753.0,1.0,0,0,0,16.478964498177483
0,4,2008,6321095.0,1.0,0,0,0,15.65940301060902
0,4,2005,16030566.0,1.0,0,0,0,16.590007832758403
0,4,2009,11000000.0,3.0,0,0,0,16.213405830762646
0,4,2010,4000000.0,1.0,0,0,0,15.201804919084164
0,4,2007,160000.0,1.0,1,0,0,11.982929094215963
0,4,2007,500000.0,1.0,0,0,0,13.122363377404328
0,4,2011,48501.0,2.0,0,0,0,10.789339695269716
0,4,2004,22600000.0,1.0,1,0,0,16.933460464242515
0,4,2005,100000.0,1.0,0,0,0,11.512925464970229
1,2,2008,14000000.0,4.0,1,0,0,16.454567887579532
0,4,2008,2365000.0,1.0,1,0,0,14.67628857990817
0,4,2010,750000.0,2.0,0,0,0,13.527828485512494
0,4,1996,4500000.0,1.0,0,0,0,15.319587954740548
0,4,2006,1008401.0,4.0,0,0,0,13.823876465965382
0,4,2007,5806037.0,1.0,0,0,0,15.574408796264285
0,4,2008,1500000.0,1.0,0,0,0,14.22097566607244
0,4,2011,100000.0,1.0,1,0,0,11.512925464970229
0,4,2007,10000000.0,1.0,1,0,0,16.11809565095832
1,2,2011,500000.0,1.0,0,0,0,13.122363377404328
0,4,2007,22500000.0,1.0,0,0,0,16.929025867174648
0,4,2007,22100000.0,3.0,1,0,0,16.911088166487982
0,4,2007,5000000.0,2.0,0,0,0,15.424948470398377
0,4,2011,200000.0,2.0,0,0,0,12.206072645530174
0,4,2009,296384.0,2.0,0,0,0,12.599411189840424
0,4,2004,11298100.0,3.0,0,0,0,16.240145127952268
0,4,2004,15500000.0,1.0,0,0,0,16.556350581889475
0,4,2007,6865000.0,2.0,0,0,0,15.741946597184208
0,4,2010,2750000.0,1.0,0,0,0,14.827111469642754
0,4,2008,6545000.0,2.0,1,0,0,15.694211957326138
0,4,2011,100000.0,1.0,0,0,0,11.512925464970229
0,4,2007,4100000.0,1.0,0,0,0,15.226497531674536
1,2,2008,4000000.0,3.0,1,0,0,15.201804919084164
0,4,2004,26000006.0,2.0,0,0,0,17.07360732675496
0,4,2011,700000.0,1.0,1,0,0,13.458835614025542
0,4,2004,500000.0,1.0,1,0,0,13.122363377404328
1,3,2008,10500000.0,3.0,1,2011,1096,16.166885815127753
0,4,2008,250000.0,1.0,0,0,0,12.429216196844385
0,1,2009,4200000.0,3.0,0,0,0,15.250595083253597
0,4,2005,3500000.0,1.0,1,0,0,15.068273526459642
0,4,2011,2000000.0,1.0,0,0,0,14.50865773852422
1,2,2010,20000.0,1.0,0,0,0,9.903487552536127
1,3,2011,5000.0,1.0,0,2013,593,8.517193191416238
0,4,2011,4400000.0,1.0,0,0,0,15.29711509888849
0,4,2011,200000.0,1.0,0,0,0,12.206072645530174
0,4,2007,1200000.0,1.0,0,0,0,13.997832114758229
0,4,2004,8600000.0,1.0,1,0,0,15.967272761223736
0,4,2005,2550000.0,1.0,0,0,0,14.75160391713461
1,2,2005,14000000.0,4.0,1,0,0,16.454567887579532
0,4,2008,220000.0,1.0,0,0,0,12.301382825334498
0,4,2006,2000000.0,2.0,0,0,0,14.50865773852422
0,4,2008,9197854.0,2.0,0,0,0,16.034480753940155
0,4,2005,12000000.0,3.0,0,0,0,16.300417207752275
0,4,2006,22000000.0,1.0,1,0,0,16.90655301132259
0,4,2008,6700000.0,3.0,1,0,0,15.717618084361195
1,3,2008,2300000.0,3.0,1,2013,2040,14.648419680899378
0,4,2011,20000.0,1.0,0,0,0,9.903487552536127
0,4,2007,700000.0,3.0,1,0,0,13.458835614025542
1,2,2011,1975000.0,2.0,0,0,0,14.496078956317358
0,4,2008,1000000.0,1.0,1,0,0,13.815510557964274
0,4,2005,600000.0,1.0,0,0,0,13.304684934198283
0,4,2006,5000000.0,2.0,0,0,0,15.424948470398377
0,4,2008,9100000.0,1.0,0,0,0,16.02378497148708
0,4,2011,1725000.0,2.0,0,0,0,14.360737608447597
0,4,1999,83000.0,1.0,0,0,0,11.326595886778737
0,4,2008,17000000.0,3.0,1,0,0,16.64872390202049
1,2,2006,3840000.0,2.0,0,0,0,15.160982924563909
0,4,2006,1700000.0,1.0,1,0,0,14.346138809026444
1,2,1998,6000999.0,1.0,1,0,0,15.607436513332743
1,3,2007,800000.0,2.0,1,2012,2004,13.592367006650065
0,4,2005,1800000.0,2.0,0,0,0,14.403297222866392
1,2,2007,1000000.0,2.0,0,0,0,13.815510557964274
1,3,2007,1500000.0,1.0,0,2013,2293,14.22097566607244
0,4,2000,35000.0,1.0,0,0,0,10.46310334047155
0,4,2004,2000000.0,1.0,0,0,0,14.50865773852422
0,4,2000,12000000.0,2.0,1,0,0,16.300417207752275
0,4,1999,22500000.0,1.0,0,0,0,16.929025867174648
1,2,2002,8800000.0,3.0,1,0,0,15.990262279448435
0,4,2011,6080000.0,1.0,1,0,0,15.620515253942347
0,4,2006,8300000.0,3.0,1,0,0,15.931766072766829
0,4,2008,1000000.0,2.0,1,0,0,13.815510557964274
0,4,2008,2000000.0,2.0,0,0,0,14.50865773852422
0,4,2002,500000.0,1.0,0,0,0,13.122363377404328
1,3,2007,2000000.0,1.0,0,2012,1886,14.50865773852422
0,4,2000,11600000.0,1.0,0,0,0,16.266515656076592
0,4,1999,1000000.0,1.0,0,0,0,13.815510557964274
1,3,2003,9100000.0,1.0,0,2010,2671,16.02378497148708
0,4,2008,200000.0,2.0,1,0,0,12.206072645530174
0,4,2006,11000000.0,1.0,0,0,0,16.213405830762646
0,4,2010,4300000.0,2.0,0,0,0,15.27412558066379
0,4,2010,93359.0,1.0,0,0,0,11.444207555677709
0,4,2008,21827665.0,3.0,0,0,0,16.89868875991009
1,2,1999,2970000.0,1.0,0,0,0,14.904072510778882
0,4,2005,14000000.0,2.0,0,0,0,16.454567887579532
0,4,2004,80000.0,1.0,0,0,0,11.289781913656018
1,3,2003,891177.0,1.0,0,2013,3817,13.700298339922666
0,4,2007,314169.0,1.0,0,0,0,12.657686336664316
0,4,2001,10000000.0,4.0,1,0,0,16.11809565095832
1,2,2007,10400001.0,3.0,0,0,0,16.15731646026544
1,3,2006,98000.0,1.0,0,2010,1334,11.49272275765271
0,4,2011,20900000.0,1.0,0,0,0,16.855259716935038
0,4,2011,1000000.0,1.0,1,0,0,13.815510557964274
1,3,2005,1700000.0,1.0,0,2011,2541,14.346138809026444
0,4,2010,7000000.0,1.0,1,0,0,15.761420707019589
0,4,2010,3030712.0,1.0,0,0,0,14.924308133379604
1,2,2004,18000000.0,1.0,1,0,0,16.70588231586044
0,4,2011,18000.0,2.0,0,0,0,9.798127036878302
0,4,2010,2125000.0,2.0,0,0,0,14.569282360340654
1,2,2005,8500000.0,3.0,1,0,0,15.955576721460544
0,4,2008,6000000.0,2.0,1,0,0,15.60727002719233
0,4,2008,2000000.0,1.0,0,0,0,14.50865773852422
0,4,2006,5500000.0,1.0,1,0,0,15.5202586502027
1,2,1997,8400000.0,1.0,1,0,0,15.943742263813542
0,4,2008,150000.0,1.0,1,0,0,11.918390573078392
0,4,2000,175000.0,1.0,0,0,0,12.072541252905651
0,4,2011,1100000.0,3.0,0,0,0,13.9108207377686
0,4,2010,512000.0,1.0,0,0,0,13.146079904021644
0,4,2006,1500000.0,1.0,0,0,0,14.22097566607244
1,3,2005,4000000.0,4.0,0,2011,2149,15.201804919084164
1,3,2007,12000000.0,1.0,0,2013,2011,16.300417207752275
0,1,1989,4500000.0,2.0,1,0,0,15.319587954740548
0,4,2011,40000.0,1.0,0,0,0,10.596634733096073
0,4,2010,6600000.0,2.0,0,0,0,15.702580206996654
1,2,2007,300000.0,4.0,1,0,0,12.611537753638338
0,4,2007,250000.0,1.0,1,0,0,12.429216196844385
1,2,2004,7660000.0,3.0,1,0,0,15.851522541716774
0,4,2005,4180000.0,1.0,0,0,0,15.24582180450094
0,4,2008,250000.0,1.0,0,0,0,12.429216196844385
0,4,2007,21000000.0,3.0,1,0,0,16.860032995687696
0,4,2005,350000.0,1.0,0,0,0,12.765688433465597
0,4,2009,1170000.0,2.0,0,0,0,13.972514306773938
0,4,2007,90000.0,1.0,0,0,0,11.407564949312402
1,3,2005,7350000.0,3.0,0,2010,1789,15.81021087118902
0,4,2009,7900000.0,2.0,1,0,0,15.88237331743725
0,4,2008,12600000.0,1.0,0,0,0,16.349207371921707
0,4,2004,5000000.0,1.0,1,0,0,15.424948470398377
1,2,2007,16898621.0,1.0,0,0,0,16.642742578930896
