category_code,status,founded_at,first_investment_at,last_investment_at,investment_rounds,funding_rounds,funding_total_usd,milestones,relationships,top_3_cities,usa_non_usa,ca_non_ca,first_funding_at_year,last_funding_at_year,first_milestone_at_year,last_milestone_at_year,closed_at_year,isClosed,duration_days,log_funding_total_usd
1,4,2007,0,0,1.0,1.0,150000.0,1.0,2.0,0,1,1,2007,2007,2008,2008,0,0,0,11.918390573078392
1,4,2011,0,0,1.0,1.0,75000.0,1.0,2.0,0,1,0,2011,2011,0,0,0,0,0,11.225243392518447
0,3,2009,0,0,1.0,1.0,3000000.0,1.0,2.0,1,1,0,2012,2012,0,0,2012,1,775,14.914122846632385
0,4,2007,0,0,1.0,3.0,8829914.0,1.0,13.0,0,1,0,2011,2013,0,0,0,0,0,15.993655833008365
1,4,2011,0,0,1.0,2.0,27200000.0,1.0,11.0,0,1,1,2011,2012,0,0,0,0,0,17.118727531266227
0,4,2000,0,0,1.0,1.0,16000000.0,1.0,2.0,0,1,1,2011,2011,2011,2011,0,0,0,16.588099280204055
0,2,2007,0,0,1.0,1.0,1100000.0,2.0,3.0,1,1,1,2008,2008,2008,2010,0,1,0,13.9108207377686
0,4,2000,0,0,1.0,3.0,12322500.0,3.0,16.0,0,1,0,2007,2010,2010,2013,0,0,0,16.32693741756167
1,2,2007,0,0,1.0,1.0,225000.0,1.0,4.0,0,1,1,2007,2007,0,0,0,1,0,12.323855681186558
0,4,2011,0,0,1.0,2.0,26752221.0,1.0,8.0,0,0,0,2012,2013,2010,2010,0,0,0,17.102128055897037
0,4,2008,0,0,1.0,1.0,50000.0,1.0,1.0,1,1,0,2011,2011,2008,2008,0,0,0,10.819778284410283
0,2,2011,0,0,1.0,1.0,1200000.0,3.0,9.0,0,1,0,2012,2012,2012,2013,0,1,0,13.997832114758229
0,3,2011,0,0,1.0,1.0,138000.0,2.0,7.0,0,0,0,2011,2011,2011,2012,2013,1,752,11.835008964139341
0,4,2008,0,0,1.0,2.0,1300000.0,1.0,3.0,0,1,0,2009,2010,2009,2009,0,0,0,14.077874822431765
1,3,2008,0,0,1.0,1.0,150000.0,1.0,1.0,0,1,0,2007,2007,2008,2008,2012,1,1368,11.918390573078392
0,4,2008,0,0,1.0,1.0,3000000.0,3.0,4.0,0,0,0,2008,2008,2008,2013,0,0,0,14.914122846632385
0,3,2011,0,0,1.0,2.0,21189.0,1.0,2.0,0,1,1,2011,2012,2011,2011,2013,1,851,9.961237458077031
0,4,2011,0,0,1.0,2.0,1835000.0,1.0,8.0,1,1,0,2011,2012,0,0,0,0,0,14.422555039470808
1,4,1998,0,0,1.0,1.0,1000000.0,1.0,1.0,1,1,1,2010,2010,2004,2004,0,0,0,13.815510557964274
0,4,2011,0,0,1.0,1.0,895000.0,1.0,3.0,1,1,1,2012,2012,2011,2011,0,0,0,13.704578997256993
0,4,2011,0,0,1.0,2.0,155000.0,1.0,3.0,0,1,0,2013,2013,2013,2013,0,0,0,11.951180395901384
1,4,2007,0,0,1.0,3.0,3242399.0,1.0,2.0,0,0,0,2007,2009,2007,2007,0,0,0,14.991824045882668
1,4,2004,0,0,1.0,1.0,1616176.0,1.0,2.0,0,1,0,2012,2012,2004,2004,0,0,0,14.295573423023907
0,3,2007,0,0,1.0,1.0,50000.0,1.0,2.0,1,1,0,2007,2007,0,0,2012,1,1649,10.819778284410283
0,4,2010,0,0,1.0,3.0,2475000.0,1.0,2.0,0,1,0,2010,2013,2010,2010,0,0,0,14.721750953984929
0,4,2008,0,0,1.0,1.0,952578.0,1.0,1.0,1,0,0,2011,2011,0,0,0,0,0,13.766927272393989
0,2,2006,0,0,1.0,2.0,13250000.0,4.0,4.0,0,1,0,2010,2012,2010,2013,0,1,0,16.399508110396507
1,2,2008,0,0,1.0,1.0,509412.0,1.0,3.0,0,1,1,2008,2008,2009,2009,0,1,0,13.14101239837606
0,4,2006,0,0,1.0,1.0,7385500.0,1.0,4.0,0,0,0,2008,2008,0,0,0,0,0,15.815029176462792
1,3,2005,0,0,1.0,2.0,12100000.0,1.0,10.0,0,1,1,2006,2008,2008,2008,2011,1,2495,16.308716010566968
0,4,2008,0,0,1.0,1.0,109018.0,1.0,2.0,0,0,0,2008,2008,0,0,0,0,0,11.599268285192245
0,4,2012,0,0,1.0,1.0,1700000.0,2.0,7.0,1,1,0,2013,2013,2012,2012,0,0,0,14.346138809026444
0,4,2011,0,0,1.0,1.0,900000.0,1.0,3.0,0,0,0,2011,2011,2011,2011,0,0,0,13.710150042306449
0,4,2008,0,0,1.0,1.0,50000.0,2.0,2.0,0,1,0,2012,2012,2008,2011,0,0,0,10.819778284410283
1,2,1996,0,0,1.0,1.0,18664050.0,1.0,2.0,0,1,0,2011,2011,0,0,0,1,0,16.742109771633952
1,2,2007,0,0,1.0,2.0,4000000.0,1.0,6.0,1,1,1,2009,2009,2009,2009,0,1,0,15.201804919084164
0,4,2009,0,0,1.0,1.0,8700000.0,2.0,5.0,0,1,1,2013,2013,2012,2013,0,0,0,15.978833583624812
0,4,2008,0,0,1.0,3.0,11510000.0,4.0,6.0,0,1,0,2009,2011,2010,2012,0,0,0,16.258726780698066
0,2,2002,0,0,1.0,3.0,9650000.0,4.0,13.0,0,1,0,2005,2013,2010,2011,0,1,0,16.082468473315167
1,4,2004,0,0,1.0,1.0,8000000.0,1.0,12.0,0,1,0,2010,2010,0,0,0,0,0,15.89495209964411
0,4,2003,0,0,1.0,1.0,4000000.0,1.0,5.0,0,1,0,2013,2013,2011,2011,0,0,0,15.201804919084164
0,4,2007,0,0,1.0,1.0,20000.0,1.0,1.0,0,0,0,2007,2007,0,0,0,0,0,9.903487552536127
0,4,2009,0,0,1.0,2.0,5694085.0,1.0,2.0,0,0,0,2011,2013,2009,2009,0,0,0,15.554938474703079
0,4,2011,0,0,1.0,1.0,1200000.0,1.0,3.0,1,1,1,2011,2011,2013,2013,0,0,0,13.997832114758229
0,2,2008,0,0,1.0,2.0,3915000.0,2.0,9.0,1,1,0,2010,2010,2010,2011,0,1,0,15.18032588740704
0,4,2007,0,0,1.0,1.0,811057.0,1.0,4.0,0,0,0,2010,2010,2007,2007,0,0,0,13.606093614228266
0,4,2010,0,0,1.0,1.0,15000.0,1.0,3.0,0,1,1,2010,2010,0,0,0,0,0,9.615805480084347
1,4,2010,0,0,1.0,1.0,57000.0,1.0,2.0,0,0,0,2011,2011,2010,2010,0,0,0,10.950806546816688
1,2,2005,0,0,1.0,1.0,250000.0,1.0,4.0,1,1,0,2005,2005,0,0,0,1,0,12.429216196844383
0,4,2011,0,0,1.0,1.0,100000.0,1.0,3.0,0,1,1,2011,2011,0,0,0,0,0,11.512925464970229
1,1,1991,2007,2007,2.0,1.0,100000.0,2.0,66.0,0,1,0,2011,2011,2009,2013,0,0,0,11.512925464970229
1,4,2010,0,0,1.0,1.0,2454.0,1.0,3.0,0,1,0,2011,2011,2010,2010,0,0,0,7.805474625270857
1,2,2008,0,0,1.0,2.0,10600000.0,3.0,6.0,0,1,1,2007,2009,2008,2013,0,1,0,16.176364559082295
1,4,2001,0,0,1.0,1.0,7843200.0,2.0,3.0,0,1,0,2013,2013,2012,2013,0,0,0,15.87515747231593
1,4,2010,0,0,1.0,1.0,100000.0,1.0,1.0,0,0,0,2009,2009,2009,2009,0,0,0,11.512925464970229
1,4,2000,0,0,1.0,3.0,2309232.0,1.0,1.0,0,0,0,2000,2003,2005,2005,0,0,0,14.652425559685925
1,3,2006,0,0,1.0,1.0,200000.0,1.0,3.0,0,1,1,2007,2007,2007,2007,2013,1,2488,12.206072645530174
0,4,2010,0,0,1.0,1.0,4000000.0,2.0,4.0,0,1,1,2013,2013,2010,2013,0,0,0,15.201804919084164
0,4,2006,0,0,1.0,3.0,5200000.0,1.0,4.0,0,1,0,2011,2013,0,0,0,0,0,15.464169183551656
1,4,2010,0,0,1.0,3.0,1600000.0,1.0,1.0,0,0,0,2010,2011,0,0,0,0,0,14.28551418721001
0,4,2010,0,0,1.0,1.0,35000.0,1.0,2.0,0,0,0,2011,2011,0,0,0,0,0,10.46310334047155
1,4,2011,0,0,1.0,1.0,165000.0,1.0,2.0,0,0,0,2011,2011,0,0,0,0,0,12.013700752882718
0,4,2006,0,0,1.0,1.0,20000.0,1.0,1.0,0,0,0,2006,2006,2006,2006,0,0,0,9.903487552536127
1,2,2005,0,0,1.0,2.0,3500000.0,4.0,15.0,1,1,0,2005,2006,2008,2013,0,1,0,15.068273526459642
0,4,2007,0,0,1.0,2.0,14345753.0,1.0,10.0,1,0,0,2011,2012,0,0,0,0,0,16.478964498177483
0,4,2008,0,0,1.0,1.0,6321095.0,1.0,1.0,0,0,0,2011,2011,2011,2011,0,0,0,15.659403010609019
0,4,2005,0,0,1.0,3.0,16030566.0,1.0,7.0,1,1,0,2007,2010,0,0,0,0,0,16.590007832758403
0,4,2009,0,0,1.0,3.0,11000000.0,3.0,22.0,0,1,0,2009,2013,2013,2013,0,0,0,16.213405830762646
1,4,2010,0,0,1.0,1.0,4000000.0,1.0,5.0,0,1,0,2012,2012,2011,2011,0,0,0,15.201804919084164
0,4,2007,0,0,1.0,1.0,160000.0,1.0,3.0,0,1,1,2007,2007,0,0,0,0,0,11.982929094215963
0,4,2007,0,0,1.0,1.0,500000.0,1.0,1.0,0,1,0,2010,2010,2007,2007,0,0,0,13.122363377404328
1,4,2011,0,0,1.0,1.0,48501.0,2.0,7.0,0,1,0,2012,2012,2012,2012,0,0,0,10.789339695269716
0,4,2004,0,0,1.0,2.0,22600000.0,1.0,4.0,0,1,1,2005,2008,2007,2007,0,0,0,16.933460464242515
0,4,2005,0,0,1.0,1.0,100000.0,1.0,5.0,0,1,0,2007,2007,0,0,0,0,0,11.512925464970229
1,2,2008,0,0,1.0,3.0,14000000.0,4.0,11.0,0,1,1,2006,2008,2007,2013,0,1,0,16.454567887579532
1,4,2008,0,0,1.0,2.0,2365000.0,1.0,1.0,0,1,1,2011,2013,0,0,0,0,0,14.67628857990817
0,4,2010,0,0,1.0,1.0,750000.0,2.0,5.0,0,0,0,2008,2008,2012,2013,0,0,0,13.527828485512494
0,4,1996,0,0,1.0,1.0,4500000.0,1.0,2.0,0,0,0,2009,2009,0,0,0,0,0,15.319587954740548
0,4,2006,0,0,1.0,3.0,1008401.0,4.0,6.0,0,1,0,2007,2010,2008,2013,0,0,0,13.823876465965382
